Invoice_Number,Invoice_Date,Vendor_Name,GSTIN,Taxable_Amount,GST_Rate_%,GST_Amount,Total_Amount
INV-1000,2026-01-25,Bakshi Ltd,43Bcbf3218n1o9G,153977.41,5,7698.87,161676.28
INV-1001,2026-01-10,Issac Ltd,86SBvr3794j0n2W,381909.1,5,19095.46,401004.56
INV-1002,2025-09-29,Chanda Group,15hyfJ5940s7O8N,446343.7,12,53561.24,499904.94
INV-1003,2026-04-30,Handa-Boase,03DOxk4131x6w4n,162926.82,5,8146.34,171073.16
INV-1004,2026-02-06,Bora-Garg,83RuXX2764d8o3c,275748.11,5,13787.41,289535.52
INV-1005,2026-03-30,Rattan-Loyal,13jqip9537V6J7I,95678.24,18,17222.08,112900.32
INV-1006,2025-09-01,"Sangha, Rastogi and Pathak",32OkYR8710B1M2e,448633.9,18,80754.1,529388.0
INV-1007,2025-10-18,Sidhu-Wadhwa,48sBkD0184a5U1U,346771.46,18,62418.86,409190.32
INV-1008,2025-09-01,"Gokhale, Tripathi and Cherian",48XHaM9325u2F8b,223895.33,5,11194.77,235090.1
INV-1009,2025-07-04,Mohanty-Khatri,03XiiQ9117E1J8k,163276.65,28,45717.46,208994.11
INV-1010,2025-09-01,"Sampath, Kakar and Zacharia",34poev6578b7L1J,118423.41,18,21316.21,139739.62
INV-1011,2025-08-19,"Kannan, Amble and Bobal",03rQFn1051I8i3U,184499.02,5,9224.95,193723.97
INV-1012,2026-05-20,"Solanki, Kibe and Solanki",63DUdR1165P6P6g,148469.75,5,7423.49,155893.24
INV-1013,2025-06-14,Nori-Chopra,33rDpe3872C6Z2J,459015.55,12,55081.87,514097.42
INV-1014,2025-06-29,Zachariah Inc,13dkya2677y3q6Y,355266.39,12,42631.97,397898.36
INV-1015,2026-03-22,Mangal-Sampath,87VIdV2343u0d9d,249433.34,18,44898.0,294331.34
INV-1016,2026-01-03,Thakkar-Wali,20Rpzh8121K9p1L,180837.51,12,21700.5,202538.01
INV-1017,2026-01-07,Bumb Group,99qziQ8543P5t3D,127565.11,5,6378.26,133943.37
INV-1018,2025-09-21,Andra Group,99iwep1183x8s4k,129704.86,28,36317.36,166022.22
INV-1019,2025-11-08,"Mittal, Wadhwa and Anand",84jrsM1241n1T8v,27866.74,12,3344.01,31210.75
INV-1020,2025-08-09,"Lalla, Tiwari and Suresh",40XiOq1640k0V5C,129489.05,5,6474.45,135963.5
INV-1021,2025-12-22,"Sane, Andra and Choudhury",12Bict8059x8Y2c,494328.35,28,138411.94,632740.29
INV-1022,2026-05-06,Kade-Krish,15ZZlA8692b3l2V,320411.25,5,16020.56,336431.81
INV-1023,2026-05-16,Sabharwal-Kothari,42DwtY1607o3o3b,482383.99,28,135067.52,617451.51
INV-1024,2026-02-02,Rastogi LLC,41bhql4586L8q5c,428194.23,18,77074.96,505269.19
INV-1025,2025-07-03,"Saraf, Pai and Murthy",69cTBa8169H3Z4I,8676.94,18,1561.85,10238.79
INV-1026,2026-02-12,"Hegde, Patla and Sankar",15QAuz9514S8s4J,199562.42,28,55877.48,255439.9
